Og_run,loci,genes,rep_loci,t_inoc,t_2h,t_3h,t_4h,t_5.5h,t_7h,t_9h
d103 190429a,ACIAD1389,rpsT(2)_4/29a,ACIAD1389,0,-1.002143088,-1.268082086,-2.83172423,-4.788537935,-6.036514828,-7.80118934
d143 190429a,ACIAD2802-2799,ACIAD2802-2799(NE)_4/29a,ACIAD2799,0,0,0,0,0,0,0
d102 190429c,ACIAD0501,rpmG(0)_4/29c,ACIAD0501,0,-0.907254473,-0.700795774,-1.54436867,-2.110747289,-2.273276814,-2.870550122
d111 190430a,ACIAD0724-2,"nrdAB(1,1)_4/30a",ACIAD0724,0,-2.599263678,-3.298674411,-5.268289914,-8.374923252,-9.814289681,-13.81381752
d116 190430a,ACIAD0180-8,atpB-C(0(F0)_4/30a,ACIAD0180,0,-2.515044128,-3.029268677,-4.805630716,-7.358778234,-8.821513049,-11.68812289
d118 190430b,ACIAD2425-9,"cyoA-E(1,1,1,2,3)_4/30b",ACIAD2426,0,-2.495107737,-3.375902005,-4.412158189,-5.932243091,-6.522641163,-7.815791409
d142 190430b,ACIAD2153-1,ACIAD2153-1(NE)_4/30b,ACIAD2153,0,-1.312840085,-1.287952544,-1.979893214,-1.794854548,-2.26964938,-2.552335574
d128 190502a,ACIAD0648,secA(3)_5/02a,ACIAD0648,0,-2.058177673,-2.223285741,-3.03098135,-4.955247507,-6.012859234,-8.288155701
d130 190502b,ACIAD2296,ftsY(1)_5/02b,ACIAD2296,0,-1.199356111,-1.046475,-2.266533055,-4.508806822,-5.106245052,-7.12578184
d129 190503a,ACIAD0839,ffh(3)_5/3a,ACIAD0839,0,0.5651245,0.12459349,-0.934855287,-3.944899353,-4.929910364,-6.913228061
d123 190503b,ACIAD2324,lpxB(3)_5/03b,ACIAD2324,0,-0.714913191,-0.769997177,-1.334260559,-2.501718002,-3.267926804,-5.111413607
d143 190503c,ACIAD2802-2799,ACIAD2802-2799(NE)_5/03c,ACIAD2799,0,0,0,0,0,0,0
d131 190506a,ACIAD1404-1399,"iscS-hscA(2,2,1,3,1)_5/06a",ACIAD1399,0,-2.160540701,-2.890848367,-3.737267742,-6.348215019,-6.664001402,-9.626336804
d104 190506b,ACIAD0609,aspS(1)_5/06b,ACIAD0609,0,-1.160853646,-1.65972082,-2.666204581,-4.760673805,-6.241703293,-8.535477953
d119 190507a,ACIAD3116,fabI(3)_5/07a,ACIAD3116,0,-0.358482876,-0.37574678,-0.384784115,-1.474902706,-2.686473469,-4.801563375
d120 190507b,ACIAD1381,fabZ(1)_5/07b,ACIAD1381,0,-0.553461806,-0.537367316,-0.570978738,-0.796444113,-1.94857233,-3.515917451
d133 190507c,ACIAD1232,ACIAD1232(0)_5/07c,ACIAD1232,0,-0.554708057,-0.60754168,-0.803449985,-1.589219272,-2.450101634,-3.714448208
